year,month,state,latitude,longitude,firespots,firespots2
1999,12,MATO GROSSO,-13.99335556,-58.67888889,18,0.000474608
1999,12,PARA,-2.746780144,-49.79739791,766,0.020197226
1999,12,RORAIMA,1.924723429,-60.12523714,35,0.00092285
2000,1,AMAPA,-0.935,-52.2642,2,5.27343E-05
2000,1,AMAZONAS,-4.956312857,-63.95565714,7,0.00018457
2000,1,MARANHAO,-3.577159412,-46.40108824,17,0.000448241
2000,1,MATO GROSSO,-13.4545,-56.93849231,13,0.000342773
2000,1,PARA,-2.555224333,-48.85874333,30,0.000791014
2000,1,RORAIMA,3.653043333,-60.19976111,18,0.000474608
2000,2,AMAZONAS,-3.015598226,-62.39670161,62,0.001634762
2000,2,MARANHAO,-3.00991,-45.85723333,3,7.91014E-05
2000,2,MATO GROSSO,-12.554244,-55.226516,25,0.000659178
2000,2,PARA,-3.431056207,-52.68953448,29,0.000764647
2000,2,RONDONIA,-12.21855,-61.69766667,6,0.000158203
2000,2,RORAIMA,2.786532632,-60.68671228,57,0.001502927
2000,3,ACRE,-9.445561818,-71.24003636,11,0.000290038
2000,3,AMAZONAS,-3.114922029,-62.91103188,69,0.001819332
2000,3,MATO GROSSO,-12.22753,-54.32358,10,0.000263671
2000,3,PARA,-3.691694972,-51.40436409,181,0.004772452
2000,3,RONDONIA,-11.24587778,-63.82321111,9,0.000237304
2000,3,RORAIMA,2.5943224,-60.654584,125,0.003295892
2000,4,ACRE,-8.46306,-70.325,1,2.63671E-05
2000,4,AMAZONAS,-2.530095,-62.54666667,18,0.000474608
2000,4,MARANHAO,-2.99653,-45.71835,2,5.27343E-05
2000,4,MATO GROSSO,-12.53629903,-55.38387742,31,0.000817381
2000,4,PARA,-4.60373175,-51.906175,40,0.001054685
2000,5,ACRE,-8.17167,-70.95667,1,2.63671E-05
2000,5,AMAZONAS,-6.165653922,-63.00042451,51,0.001344724
2000,5,MATO GROSSO,-12.05362689,-55.52224395,840,0.022148394
2000,5,PARA,-4.784305833,-53.155695,12,0.000316406
2000,5,RONDONIA,-12.04588867,-60.88866667,15,0.000395507
2000,5,RORAIMA,3.172144286,-60.98714143,7,0.00018457
2000,5,TOCANTINS,-6.799165,-48.4383325,4,0.000105469
2000,6,ACRE,-10.115,-67.6731,1,2.63671E-05
2000,6,AMAZONAS,-2.804076667,-66.74076667,6,0.000158203
2000,6,MARANHAO,-4.729922258,-47.11844839,31,0.000817381
2000,6,MATO GROSSO,-11.85019104,-55.49258727,3049,0.080393398
2000,6,PARA,-7.712625085,-50.59182542,59,0.001555661
2000,6,RONDONIA,-11.33408852,-61.50767037,54,0.001423825
2000,6,TOCANTINS,-8.437855455,-48.69616364,11,0.000290038
2000,7,ACRE,-9.66667,-68.215,1,2.63671E-05
2000,7,AMAZONAS,-7.554767436,-62.82752051,39,0.001028318
2000,7,MARANHAO,-4.551391042,-47.01413125,48,0.001265623
2000,7,MATO GROSSO,-11.6074084,-55.80090987,851,0.022438433
2000,7,PARA,-7.232115986,-52.41538263,426,0.0112324
2000,7,RONDONIA,-10.70131808,-62.641965,120,0.003164056
2000,7,TOCANTINS,-7.2365692,-48.403972,25,0.000659178
2000,8,ACRE,-10.03220949,-67.85371029,136,0.00358593
2000,8,AMAPA,0.65213,-51.1889,3,7.91014E-05
2000,8,AMAZONAS,-6.525017889,-62.29147389,180,0.004746084
2000,8,MARANHAO,-4.584986643,-46.73302071,140,0.003691399
2000,8,MATO GROSSO,-10.92206133,-55.62020417,4366,0.115118916
2000,8,PARA,-7.340766296,-51.16272892,5484,0.144597374
2000,8,RONDONIA,-11.31108816,-62.34729245,2200,0.058007699
2000,8,RORAIMA,2.842317778,-61.07844444,9,0.000237304
2000,8,TOCANTINS,-7.640192857,-48.67955165,273,0.007198228
2000,9,ACRE,-9.722744828,-68.17836858,261,0.006881822
2000,9,AMAPA,0.384971579,-51.26315789,19,0.000500976
2000,9,AMAZONAS,-8.03304399,-66.62310881,193,0.005088857
2000,9,MARANHAO,-4.146464431,-46.48157725,255,0.00672362
2000,9,MATO GROSSO,-11.40849235,-55.47231551,3901,0.102858198
2000,9,PARA,-6.322753861,-50.30744484,2569,0.067737172
2000,9,RONDONIA,-11.05860348,-62.5114347,2440,0.064335812
2000,9,RORAIMA,2.961369167,-60.637875,12,0.000316406
2000,9,TOCANTINS,-7.552127063,-48.73609927,412,0.01086326
2000,10,ACRE,-10.00279333,-68.89025,18,0.000474608
2000,10,AMAPA,0.793162619,-51.31280238,42,0.00110742
2000,10,AMAZONAS,-5.591062069,-62.45796414,145,0.003823235
2000,10,MARANHAO,-4.461649608,-46.57341101,1072,0.02826557
